uri,created_at,text,theme,query,like_count,repost_count,reply_count,quote_count,engagement,amplification,author_handle,author_did,author_created_at,false_claim_phrase,false_claim_beyond_query,emotional_score,high_emotion,heuristic_alarmist_or_false_claim,heuristic_alarmist_or_content_claim,false_claim,misinfo_adjacent,primary_query,secondary_themes,n_retrieval_hits,themes_distinct
at://did:plc:vqka4tmwebdtqdtt63jbnx4v/app.bsky.feed.post/3lazh6jgsdc2g,2024-11-15T22:42:43.014Z,Musk’s own AI identifies him as a major dissemination of misinformation online,health_misinformation,AI health misinformation,2690,709,75,70,3544,779,pickardje.bsky.social,did:plc:vqka4tmwebdtqdtt63jbnx4v,2024-08-23T14:05:41.553Z,False,False,0,False,False,False,False,False,AI health misinformation,,1,1
at://did:plc:mf5dzzqkp7fnmby6blfeljwj/app.bsky.feed.post/3lqt76g2czk2s,2025-06-05T01:46:37.136Z,it’s time to replace all doctors with ai,health_misinformation,AI replace doctors,9201,1564,132,203,11100,1767,junlper.beer,did:plc:mf5dzzqkp7fnmby6blfeljwj,2023-04-26T20:36:28.231Z,False,False,0,False,False,False,False,False,AI replace doctors,,1,1
at://did:plc:4u3hwe3p7oy3hoy3amlw7rp2/app.bsky.feed.post/3m5egccm7si24,2025-11-11T15:10:15.289542Z,"Big Tech is plotting a $100M lobbying and campaign spending blitz to block AI regulation at the state and federal level.

We must stop this takeover before it's too late.",regulation_fear,stop AI regulation,2356,1024,73,54,3507,1078,rbreich.bsky.social,did:plc:4u3hwe3p7oy3hoy3amlw7rp2,2023-05-16T19:48:54.185Z,False,False,0,False,False,False,False,False,stop AI regulation,,1,1
at://did:plc:vovca6kgp5ge773agrlvr7uu/app.bsky.feed.post/3m6if5qafbk26,2025-11-25T22:27:02.387Z,"No, ChatGPT is not conscious. Are the journalists who keep writing these fucking articles?",sentience,ChatGPT is conscious,1027,182,74,74,1357,256,brokenbottleboy.bsky.social,did:plc:vovca6kgp5ge773agrlvr7uu,2023-06-22T09:34:23.154Z,False,False,0,False,False,False,False,False,ChatGPT is conscious,,1,1
at://did:plc:cdv2pqnwpgqvwp7i4h6qqm3m/app.bsky.feed.post/3ma76tfkmrk2h,2025-12-17T17:30:18.806Z,"1/ At bargaining yesterday, @propublica.org management said that they should have 100% discretion to replace workers with AI and would not commit to labeling future AI-generated content.",job_displacement,AI will replace workers,2162,1025,192,546,3925,1571,propublicaguild.org,did:plc:cdv2pqnwpgqvwp7i4h6qqm3m,2024-11-18T18:10:26.079Z,False,False,0,False,False,False,False,False,AI will replace workers,,1,1
